EVIDENCE_ID,NAME,TYPE,DATE,RELEVANCE
EV-001,HCD $96M Notice of Violation & Res. 2022-064,Official Government Finding,2021-12-08T00:00:00+00:00,Confirms unlawful disposition of municipal public property without required statutory compliance.
EV-002,Orange County CJC Unlawful Detainer Docket #1201327,Court Record,2021-06-29T00:00:00+00:00,Chronicles triple default entries and 4:29 PM emergency judicial strike (ROA #37).
EV-003,Quantum Auto Dismantler Invoice #14098 & Title Trail,Financial & Logistics,2019-11-14T00:00:00+00:00,"Ties Santa Ana dismantler to Hamilton, NJ shipping hub (1456 Cedar Ln) and interstate asset flight."
EV-004,17631 Cameron Ln Environmental Hazmat & Lead Records,Environmental Audit,2020-04-15T00:00:00+00:00,Establishes knowing occupancy and shelter operation over hazardous contaminated site with unsealed well.
EV-005,"8 Lakeview, Irvine Deed & HOMI Non-Profit Tax Filings",Property Record / IRS 990,2021-03-22T00:00:00+00:00,"Demonstrates private inurement, tax-exempt asset flipping, and $1,215,000 equity extraction."
EV-016,1AIGDiMarcello.pdf,AIG Identity Theft Insurance Claim,2023-03-01T00:00:00+00:00,AIG Claim / Attached Police Report
EV-017,Ewing Police Department Chain of Custody Report,Police Report / Chain of Custody,2019-01-16T00:00:00+00:00,Ewing Police Dept Case #I-2019-001222
EV-018,Roger 2022 SMS Transcript & Dean 9-22 Record,SMS / Text Testimony,2022-09-22T00:00:00+00:00,SMS Records
EV-019,Chase Visa Account 4266 & Breach Logs,Chase Bank Account & Breach Record,2023-04-17T00:00:00+00:00,Chase Bank / ireo5ea.chase.com Alert
EV-020,American Bankers Insurance (Assurant) Identity Recovery Claim,Identity Theft Insurance Claim,2023-07-18T00:00:00+00:00,Assurant / American Bankers Ins Co of FL
EV-021,Chase Image Request & Check Sequence Checks (Sept 2023),Bank Records / Image Request,2023-09-07T00:00:00+00:00,"JPMorgan Chase Bank, N.A."
EV-022,USA v. RYAN (D.N.J. Case 3:20-mj-05007),Federal Criminal Docket,2020-03-16T00:00:00+00:00,U.S. District Court District of NJ
EV-023,Chris Ryan Raid Pretext & Insulation Transcripts,SMS / Text Testimony,2022-09-01T00:00:00+00:00,SMS Transcripts / Erika Record
EV-024,T-Mobile Settlement Notice (ID: 585008HWV0HFV),T-Mobile Data Breach Class Action Record,2021-08-16T00:00:00+00:00,T-Mobile Settlement / W.D. Mo. Dkt 21-md-3019-BCW
EV-025,MSTTRADING.COM Data Breach & Compromise Record,Data Breach / Identity Theft Record,2021-08-01T00:00:00+00:00,MSTTRADING.COM / Credential Exposure
EV-026,August 20 2021 12:51 PM Outreach Email,Contemporaneous Email Notice,2021-08-20T00:00:00+00:00,amd949609@gmail.com / Gmail Live Inbox
EV-027,August 20 2021 3:23 PM RWC Legal Stay Transmittal,Certified Court Email Transmittal,2021-08-20T00:00:00+00:00,Orange County Superior Court / Local Backup
EV-028,Victor Nunez & OCSD Email Thread (Apr 23 - Aug 19 2021),Contemporaneous Email Thread & Admission,2021-08-19T00:00:00+00:00,Victor Nunez (Shea) / info@ocsheriff.gov / amd949609@gmail.com
EV-029,Google Photos Album: 8 Photos Thursday Aug 19 2021,Google Photos Shared Album,2021-08-19T00:00:00+00:00,Google Photos Shared Album (Key: UjhiSnptVTBJS0E5MmxDRDlMNnNkaVI4M2c1VURR)
EV-030,Google Photo: Aug 17 2021 Document Photo,Google Photos Shared Media Item,2021-08-17T00:00:00+00:00,Google Photos Shared Media (Key: YWNHdWNHNXBBN0tyLWh0dXRkbS1wWmVzMU1GRU5R)
