Entity,Category,Address,Notes
City of Huntington Beach,Government,"2000 Main St, Huntington Beach, CA 92648",City Hall; primary defendant address
Huntington Beach Police Dept,Government,"2000 Main St, Huntington Beach, CA 92648",City Hall; primary defendant address
Pat Burns,Individual,"2000 Main St, Huntington Beach, CA 92648",City Hall; primary defendant address
Eric Parra,Individual,"2000 Main St, Huntington Beach, CA 92648",City Hall; primary defendant address
Michael Gates,Individual,"2000 Main St, Huntington Beach, CA 92648",City Hall; primary defendant address
Surf City Navigation Center Inc,Organization,"17631 Cameron Ln, Huntington Beach, CA 92647",HBNC Navigator Center; toxic site location; Cr-VI at 49x MCL
HBNC Toxic Site HTML,Evidence,"17631 Cameron Ln, Huntington Beach, CA 92647",HBNC Navigator Center; toxic site location; Cr-VI at 49x MCL
Orange County DA,Government,"300 N Flower St, Santa Ana, CA 92703",Orange County DA office
Todd Spitzer,Individual,"300 N Flower St, Santa Ana, CA 92703",Orange County DA office
US Navy / NAS Los Alamitos,Government,"11200 Nimitz Rd, Los Alamitos, CA 90720",NAS Los Alamitos; Navy CERCLA responsible party
US District Court CD California,Government,"411 W 4th St, Santa Ana, CA 92701",US District Court CD California; RCRA/RICO venue
US EPA Region 9,Government,"75 Hawthorne St, San Francisco, CA 94105",US EPA Region 9; RCRA/CERCLA enforcement
HUD Region IX,Government,"600 Harrison St, San Francisco, CA 94107",HUD Region IX; grant fraud nexus
CalEPA / DTSC,Government,"1001 I St, Sacramento, CA 95814",CalEPA / DTSC / State Water Resources Board
CA State Water Resources Board,Government,"1001 I St, Sacramento, CA 95814",CalEPA / DTSC / State Water Resources Board
California State Controller,Government,"300 Capitol Mall, Sacramento, CA 95814",CA State Controller; unclaimed property custodian
FBI Los Angeles Field Office,Government,"11000 Wilshire Blvd, Los Angeles, CA 90024",FBI Los Angeles Field Office; RICO referral target
Woodbridge Meadows Apartments LLC,Organization,"130 VANTIS STE 200, ALISO VIEJO, CA 92656",Plaintiff in Unlawful Detainer Case 30-2021-01201327-CL-UD-CJC
"Shea Properties Management Company, Inc.",Organization,"50 Eastshore, Irvine, CA 92604",Authorized agent for Landlord/Owner Woodbridge Meadows Apartments LLC
"Ruzicka, Wallace & Coughlin, LLP",Organization,,Plaintiff's Attorney for Woodbridge Meadows Apartments LLC
Woodbridge Self Storage,Organization,"5020 Barranca Parkway, Irvine, CA 92604",Storage facility used by Anthony Dimarcello
