City Name,IRC Report Years Available,Windows NT / Legacy Server Lineage,Data Systems Grade,IT Capital Deficit,Annual IT Spent / Budget,Annual Available Capital Capacity,Backup Latency Window,Antivirus / Security Posture,Public IP / WAF Exposure,GIS & Records Platform,Primary Tax Funding Source
City of Huntington Beach,"2000 (IAC), 2024 (IRC)","YES (Legacy 2000s Windows Server / IIS On-Premise Rack)","Grade C (Mediocre / Lacks Redundancy)","$21,000,000 Deficit","~$4,000,000 / Year (Routine Maintenance)","~$8,000,000 / Year (Unallocated CIP Capacity)","Multi-Day Latency (Local Disk/Tape)",Basic Host Antivirus / Legacy Agents,"Direct Public Subnet 192.5.222.0/24 (Zero WAF on ArcGIS/Laserfiche)",Self-Hosted ArcGIS (192.5.222.153) & Laserfiche (192.5.222.218),Measure FF (15% General Fund Charter Lock)
City of Newport Beach,"2016 (ASCE OC), 2021 (OCBC)","NO (Modernized Cloud SaaS & Azure / AWS Infrastructure)","Grade A (Exceptional / Fully Modernized)","$0 Unfunded Backlog","~$5,500,000 / Year (Modern SaaS Subscriptions)","~$6,000,000 / Year (Fully Funded CIP Reserve)","Automated Real-Time Cloud Replication (RTO < 4 Hrs)",Enterprise EDR (CrowdStrike/Defender) + 100% MFA,"Zero Direct Server IPs (100% Cloudflare Edge WAF)",ArcGIS Online (SaaS) & Laserfiche Cloud / CityView,Capital Asset Replacement Fund (CIP Lock)
City of Costa Mesa,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Hybrid Cloud / Managed Virtualized Datacenter)","Grade B (Good / Stable)","~$3,500,000 Deficit","~$4,800,000 / Year","~$4,000,000 / Year","Daily Automated Snapshots (RTO < 12 Hrs)",Enterprise EDR + Centralized SOC Monitoring,Reverse-Proxy Masked Gateway (Cloudflare Edge),ArcGIS Enterprise Cloud & Tyler Technologies,General Fund CIP Allocation
City of Fountain Valley,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy Municipal On-Premise Server Model)","Grade C+ (Fair / Needs Modernization)","~$5,200,000 Deficit","~$2,800,000 / Year","~$2,500,000 / Year","24-48 Hour Backup Cycles (On-Prem Tape/NAS)",Standard Endpoint Antivirus,Direct Gateway Subnet with Partial Edge Filtering,Self-Hosted GIS & Laserfiche Records,General Fund / Measure HH CIP Allocation
City of Seal Beach,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy Small-Municipality Server Environment)","Grade C (Aging Infrastructure)","~$3,800,000 Deficit","~$1,900,000 / Year","~$1,500,000 / Year","Multi-Day Backup Latency (Local NAS/Offsite Tape)",Basic Endpoint Antivirus + Firewall Appliance,Exposed External IP Ranges (No Cloud WAF),Shared County GIS & In-House EDMS,Measure BB Infrastructure Tax Fund
City of Westminster,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy On-Premise Windows / Server 2012 Legacy)","Grade D+ (High Deferred Maintenance)","~$8,500,000 Deficit","~$2,900,000 / Year","~$1,800,000 / Year","Multi-Day Backup Cycles (On-Premises Disk/Tape)",Legacy Antivirus Software Agents,Exposed Gateway IPs (Minimal WAF Coverage),Legacy ArcIMS/ArcGIS Server & Document Vault,Measure Y (Sales Tax Infrastructure Fund)
City of Garden Grove,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Transitioning Hybrid Cloud Model)","Grade B- (In-Progress Upgrade)","~$6,000,000 Deficit","~$5,100,000 / Year","~$4,500,000 / Year","Daily Automated Cloud Backups (RTO < 24 Hrs)",Managed EDR + Multi-Factor Authentication,Cloud-Proxied Edge (Cloudflare / Barracuda),ArcGIS Enterprise & Laserfiche Hybrid,Measure O Infrastructure Allocation
City of Anaheim,"2016 (ASCE OC), 2021 (OCBC)","NO (Enterprise Multi-Cloud / Tier-3 Datacenter)","Grade A- (Advanced Enterprise Systems)","~$4,000,000 Deficit","~$18,500,000 / Year","~$15,000,000 / Year","Continuous Real-Time Disaster Recovery Sync",Enterprise XDR + 24/7 Managed SOC,Full Multi-Layer Cloud WAF (Akamai/Cloudflare),ArcGIS Enterprise Cloud & Accela / OpenGov,General Fund / Utility Enterprise Funds
City of Irvine,"2016 (ASCE OC), 2021 (OCBC)","NO (Full Cloud-Native / AWS GovCloud / Azure)","Grade A (Exceptional Architecture)","$0 Unfunded Backlog","~$14,000,000 / Year","~$12,000,000 / Year","Continuous Instant Multi-Region Cloud Replication",Advanced Managed XDR + Hardware Token MFA,Zero Trust Cloudflare Edge (Zero Direct IPs),ArcGIS Enterprise Multi-Cloud & OnBase Vault,Dedicated IT Capital Infrastructure Reserve
City of Indio (Coachella Valley),"2020 (Riverside County IRC)","PARTIAL (Modernized Regional Hub Model)","Grade B (Stable)","~$4,500,000 Deficit","~$3,200,000 / Year","~$2,800,000 / Year","Nightly Automated Cloud Snapshots (RTO < 12 Hrs)",Enterprise EDR + Active MFA,Cloud-Proxied Edge Security,ArcGIS Online & Tyler Technologies SaaS,Measure X (Capital Improvement Fund)
